                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.3362,                0.88825,                 1.2614,                0.40255,                  0.831,                0.41395,                0.24906,                 1.3393,                 3.2131,                 1.5138,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2763,                0.83167,                 1.2442,                0.40096,                    0.8,                0.39438,                0.21076,                 1.5825,                 3.6186,                 1.6376,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2175,                0.76931,                 1.2133,                0.41318,                0.82145,                0.43415,                0.25509,                 1.3766,                 3.4177,                 1.5028,               0.000614,               0.000614,               0.000614
                     72,                 1.2721,                0.80061,                 1.2303,                0.40791,                0.82222,                 0.4262,                0.23964,                 1.3942,                 3.4806,                 1.4682,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3109,                0.91065,                  1.258,                0.38606,                0.83144,                0.40409,                0.23432,                 1.3415,                 3.2121,                 1.4929,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2834,                0.82835,                 1.2467,                0.40481,                0.77778,                0.44229,                  0.255,                 1.4311,                 3.1224,                 1.5118,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2343,                0.79852,                 1.2323,                0.38804,                0.88069,                0.43965,                0.26568,                 1.3371,                 3.4729,                 1.4987,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2849,                0.81822,                 1.2203,                0.39737,                0.82222,                0.41758,                 0.2446,                 1.4126,                 3.1765,                 1.5549,               0.000515,               0.000515,               0.000515
                     77,                 1.2793,                0.79287,                 1.2155,                0.38318,                0.93876,                0.42334,                0.24834,                  1.391,                 3.3178,                  1.534,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2365,                0.79418,                 1.1974,                0.39033,                0.79675,                0.41364,                0.24447,                 1.3978,                 3.2727,                 1.5787,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2246,                0.75568,                 1.1985,                0.38797,                0.88747,                0.42524,                0.26052,                 1.3935,                 3.6535,                 1.5348,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2406,                0.76081,                 1.1985,                0.40669,                0.78889,                0.42005,                  0.242,                  1.479,                 3.2086,                 1.6029,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2065,                0.76174,                 1.2019,                 0.3999,                0.86631,                0.43586,                 0.2684,                 1.3364,                 3.4615,                 1.5479,               0.000416,               0.000416,               0.000416
                     82,                  1.186,                0.76309,                 1.1876,                0.39763,                0.82222,                0.43153,                0.26404,                 1.3093,                  3.144,                 1.5493,              0.0003962,              0.0003962,              0.0003962
